id,fenomeno_linguistico,diferenca_caracteres,razao_tamanho,dependia_contexto,similaridade_bge_m3,similaridade_labse,similaridade_embeddinggemma
vieira_001,Antítese,76,1.5100671140939597,True,0.7102965116500854,0.7439936995506287,0.5961634516716003
assis_001,Eufemismo e Ironia,27,1.2571428571428571,False,0.7060421109199524,0.7021124362945557,0.700273334980011
anjos_001,Metáfora Cósmica / Niilismo Físico,29,1.1920529801324504,False,0.7610387206077576,0.6956637501716614,0.6779798269271851
anjos_002,Niilismo Fís / Estática do Nada,77,1.5310344827586206,True,0.6872720122337341,0.6594241857528687,0.5587970614433289
anjos_003,Niilismo Ontológico / Antinomia e Oximoro,16,1.1151079136690647,True,0.6373207569122314,0.5711359977722168,0.5199660062789917
anjos_004,Niilismo Ontológico / Não Ser,22,1.2244897959183674,True,0.5911124348640442,0.5518788695335388,0.5210078358650208
andrade_001,Neologismo e Sarcasmo,27,1.236842105263158,True,0.637877881526947,0.5435368418693542,0.5805022120475769
anjos_005,Niilismo Filosófico / Desconstrução Metafísica,22,1.120879120879121,False,0.680633008480072,0.7002291083335876,0.5401020050048828
vieira_002,Paradoxo,124,3.1016949152542375,True,0.5066618919372559,0.335737943649292,0.3357421159744262
andrade_002,Paródia,22,1.3492063492063493,False,0.7117738127708435,0.7112618088722229,0.746364176273346
azevedo_001,Sugestão e Conotação,40,1.289855072463768,False,0.7724384665489197,0.7423198819160461,0.7381702065467834
assis_002,Zeugma,114,1.8028169014084507,False,0.876851499080658,0.868122935295105,0.8742271661758423
camoes_001,Paradoxo,223,1.4477911646586346,False,0.8191304206848145,0.887072741985321,0.7674477100372314
matos_001,Paradoxo,7,1.170731707317073,True,0.9373598694801332,0.8638692498207092,0.8667088747024536
assis_003,Ironia estrutural / Inversão conceitual,110,1.873015873015873,False,0.7756351828575134,0.6225962042808533,0.7365468740463257
camoes_002,Hipérbato,28,1.9333333333333333,True,0.6694789528846741,0.6964533925056458,0.6199673414230347
camoes_003,Antítese,24,1.3478260869565217,True,0.8607190847396851,0.8936206698417664,0.8406872749328613
matos_002,Antítese,16,1.2,True,0.7661156058311462,0.7146057486534119,0.717871904373169
matos_003,Zeugma,79,1.1452205882352942,False,0.8920256495475769,0.9207614064216614,0.8524214029312134
matos_004,Hipérbato,79,1.1452205882352942,False,0.8920256495475769,0.9207614064216614,0.8524214029312134
matos_005,Antítese,79,1.1452205882352942,False,0.8920256495475769,0.9207614064216614,0.8524214029312134
pessoa_001,Hipérbato,15,1.375,False,0.740882158279419,0.8922756314277649,0.7700964212417603
matos_006,Paradoxo,79,1.1452205882352942,False,0.8920256495475769,0.9207614064216614,0.8524214029312134
assis_004,Paradoxo e Metáfora,159,1.2814159292035399,False,0.8651517033576965,0.9023062586784364,0.9003793597221375
pessoa_002,Hipérbato e Metáfora,196,2.088888888888889,False,0.7486345171928406,0.8455668687820435,0.7600604891777039
